mean,sd,2.5%,25%,50%,75%,97.5%
-6.0116912,0.26768638959817337,-6.469,-6.271,-5.933,-5.801,-5.583
-2.0428540666666666,0.2913690715098597,-2.481,-2.292,-2.125,-1.751,-1.573
-0.24951200666666667,0.04700223637078218,-0.333,-0.2829,-0.2532,-0.2137,-0.1626
2.2247835333333335,0.1749735027291067,1.912,2.103,2.214,2.337,2.598
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
0.90138218,0.015224757863353137,0.8713,0.8912,0.9015,0.9119,0.9307
