CVEGEO,homi_count,POBTOT,P_18YMAS,P18YM_PB,GRAPROES,VIVPAR_HAB,VPH_PISODT,PROM_OCUP,VPH_TV,VPH_AUTOM,VPH_PC,VPH_INTER,INDICE_GLOBAL,NSE_num,NSE_char
0900200010010,3.0,3424.0,2650.0,1517.0,10.67,815.0,797.0,4.05,805.0,466.0,447.0,346.0,0.567699976965566,6.0,C+
0900200010025,12.0,5912.0,4426.0,2096.0,9.79,1565.0,1556.0,3.72,1558.0,532.0,712.0,523.0,0.483405218691078,5.0,C
090020001003A,1.0,4638.0,3418.0,1545.0,9.56,1124.0,1085.0,3.97,1117.0,436.0,525.0,395.0,0.485915154398029,5.0,C
0900200010044,3.0,5007.0,3708.0,1917.0,10.24,1270.0,1253.0,3.77,1261.0,493.0,603.0,454.0,0.50990525340806,5.0,C
0900200010097,1.0,2260.0,1756.0,954.0,10.5,558.0,553.0,3.95,556.0,282.0,309.0,259.0,0.567409771007471,6.0,C+
090020001010A,0.0,3385.0,2499.0,1401.0,10.83,798.0,790.0,3.99,790.0,416.0,455.0,364.0,0.574784601037861,6.0,C+
0900200010114,4.0,10265.0,7158.0,3523.0,9.85,2853.0,2779.0,3.54,2792.0,887.0,1207.0,831.0,0.464954836548384,4.0,C-
0900200010129,2.0,5005.0,3442.0,2067.0,10.9,1367.0,1324.0,3.52,1327.0,603.0,699.0,506.0,0.534911436129744,5.0,C
0900200010133,1.0,7028.0,5021.0,2423.0,9.92,1830.0,1809.0,3.78,1797.0,692.0,814.0,590.0,0.48311793770035,5.0,C
0900200010148,0.0,2645.0,1901.0,1404.0,12.63,665.0,644.0,3.66,655.0,531.0,479.0,416.0,0.695878868171214,7.0,A/B
0900200010167,1.0,3169.0,2322.0,1219.0,10.2,895.0,892.0,3.5,884.0,363.0,368.0,271.0,0.488577566573753,5.0,C
0900200010171,0.0,2466.0,1857.0,1094.0,10.81,649.0,641.0,3.67,642.0,313.0,371.0,279.0,0.565840522875092,6.0,C+
0900200010186,0.0,7474.0,5418.0,3217.0,10.93,2024.0,1991.0,3.66,2001.0,1036.0,1103.0,827.0,0.556859674056382,5.0,C
0900200010190,6.0,7548.0,5508.0,2899.0,10.28,2107.0,2069.0,3.52,2074.0,787.0,979.0,715.0,0.496123988635185,5.0,C
0900200010203,3.0,6107.0,4420.0,2041.0,9.85,1622.0,1592.0,3.71,1607.0,599.0,662.0,475.0,0.468654560298501,4.0,C-
0900200010218,1.0,3970.0,2951.0,1597.0,10.57,1183.0,1165.0,3.34,1170.0,480.0,570.0,427.0,0.51319424211711,5.0,C
0900200010222,2.0,6901.0,4944.0,2698.0,10.32,1882.0,1865.0,3.63,1856.0,768.0,974.0,751.0,0.523396751742488,5.0,C
0900200010237,6.0,6355.0,4502.0,2158.0,10.02,1636.0,1619.0,3.82,1607.0,665.0,741.0,577.0,0.494541396267425,5.0,C
0900200010256,1.0,4438.0,3180.0,1692.0,10.34,1130.0,1117.0,3.83,1127.0,500.0,538.0,405.0,0.516052935680654,5.0,C
0900200010260,3.0,5150.0,3703.0,2095.0,10.64,1143.0,1114.0,4.29,1127.0,528.0,637.0,506.0,0.555224586952396,5.0,C
0900200010275,2.0,7839.0,5524.0,2461.0,9.68,1732.0,1637.0,4.45,1715.0,774.0,858.0,654.0,0.503495630771872,5.0,C
090020001028A,1.0,3257.0,2561.0,1728.0,11.67,921.0,880.0,3.47,916.0,541.0,586.0,479.0,0.618561334029824,6.0,C+
0900200010294,1.0,5385.0,3903.0,2264.0,10.79,1510.0,1483.0,3.47,1480.0,639.0,760.0,561.0,0.529022111172431,5.0,C
